CatalogNumber,IdentifiedAsVerbatim,TypeStatusVerbatim,TypeStatusReferencesVerbatim,IdentifiedByVerbatim,IdentifiedYear,IdentifiedMonth,IdentifiedDay,IdentifiedDateVerbatim,IdentificationRemarksVerbatim,InterpretedTaxonName,SequentialNumber,ExpressedUncertainty,IsCurrent,IsOriginalIdentification,Remarks
DUMMY-24,Oenanthe fistulosa,,,,,,,,,Oenanthe fistulosa L.,1,no,yes,no,"omskriven etikett av Harald Folke, originaletikett saknas"
DUMMY-25,Polygala amarella,,,,,,,,,Polygala amarella Crantz,1,no,yes,yes,
DUMMY-26,Lepidium campestre,,,,,,,,,Lepidium campestre (L.) R. Br.,1,no,yes,yes,
DUMMY-27,Spiraea chamaedryfolia,,,,,,,,,Spiraea chamaedryfolia,1,no,yes,yes,
DUMMY-28,Sisymbrium officinale,,,,,,,,,Sisymbrium officinale (L.) Scop.,1,no,no,yes,
DUMMY-28,var. officinale,,,ThK,2003,,,,,Sisymbrium officinale (L.) Scop. var. officinale,2,no,yes,no,
DUMMY-29,Carex distans,,,,,,,,,Carex distans,1,no,yes,yes,
DUMMY-29,Carex ! 1932 det. Alvar Palmgren; Confirm. A.P. 1952,,,,,,,,,,2,no,no,no,
DUMMY-30,Amelanchier spicata,,,,,,,,,Amelanchier spicata (Lam.) K. Koch,1,no,no,yes,
DUMMY-30,Amelanchier confusa,,,,,,,,,Amelanchier confusa Hyl.,2,no,yes,no,
DUMMY-31,Gentianella campestris var. suecica !,,,,,,,,,Gentianella campestris var. suecica (Froel.) Dostál ,1,no,yes,yes,
DUMMY-32,Alisma ranunculoides,,,,,,,,,Alisma ranunculoides L.,1,no,yes,yes,
DUMMY-33,Hieracium (Hieracium),,,,,,,,,Hieracium,1,no,no,yes,
DUMMY-33,"H. subulatidens, det. T. Tyler 1999",,,,,,,,,Hieracium subulatidens (Dahlst.) Johanss.,2,no,yes,no,
DUMMY-34,Silene gallica L.,,,,,,,,,Silene gallica L.,1,no,yes,yes,
DUMMY-35,Plantago coronopus,,,,,,,,,Plantago coronopus L.,1,no,yes,yes,
DUMMY-37,Maranta pohliana ,,,,,,,,,,1,no,no,yes,
DUMMY-37,Maranta cf. pycnostachys K. Schum.,,,L. Andersson,1984,,,,,Maranta pycnostachys K. Schum.,2,yes,no,no,
DUMMY-37,Maranta pulchra S. Vieira & V. C. Souza,,,S. Vieira,2009,,,,,Maranta pulchra S. Vieira & V. C. Souza,3,no,yes,no,
DUMMY-38,Polystichum Thelypteris,,,,,,,,,Thelypteris palustris Schott,1,no,yes,yes,
DUMMY-39,Asplenium ruta muraria,,,,,,,,,Asplenium ruta muraria L.,1,no,yes,yes,
DUMMY-40,Taraxacum florstroemii Markl.,,,,,,,,,Taraxacum florstroemii Markl.,1,no,no,yes,
DUMMY-40,Taraxacum florstroemii Markl.,,,B. Saarsoo,1963,,,,,Taraxacum florstroemii Markl.,2,no,no,no,
DUMMY-40,Taraxacum florstroemii,,,Hans Øllgaard,2009,,,,,Taraxacum florstroemii Markl.,3,no,yes,no,
DUMMY-41,Linum catharticum L.,,,,,,,,,Linum catharticum L.,1,no,yes,yes,
DUMMY-42,Taraxacum,,,,,,,,,Taraxacum,1,no,no,yes,
DUMMY-42,Taraxacum langeanum,,,Håkan Wittzell,2010,,,,,Taraxacum langeanum Dahlst.,2,no,yes,no,
DUMMY-43,Polygonum bistorta,,,,,,,,,Polygonum bistorta L.,1,no,yes,yes,
DUMMY-44,Polygonum incanum,,,,,,,,,Polygonum incanum F. W. Schmidt,1,no,yes,yes,
DUMMY-45,Picramnia dictyoneura (Urb.) Urb. & Ekman,,,I. Urban,,,,,,Picramnia dictyoneura (Urb.) Urb. & Ekman,1,no,no,yes,
DUMMY-45,Picramnia dictyoneura (Urb.) Urb. & Ekman,,,W. Thomas,2010,,,,,Picramnia dictyoneura (Urb.) Urb. & Ekman,2,no,yes,no,
DUMMY-46,Taraxacum campylum Dahlst.,,,,,,,,,Taraxacum campylum Dahlst.,1,no,no,yes,
DUMMY-46,Taraxacum oxylobium Brenner,,,H. Øllgaard,1994,10,,,,Taraxacum oxylobium Brenner,2,no,yes,no,
DUMMY-47,Equisetum hyemale L.,,,,,,,,,Equisetum hyemale L.,1,no,yes,yes,
DUMMY-48,Taraxacum subcoartatum mihi n. sp.,,,,,,,,,,1,no,no,yes,
DUMMY-48,Taraxacum megalosipteron Railons.,,,C.-F. Lundevall,1999,,,,,Taraxacum megalosipteron Rail.,2,no,yes,no,
DUMMY-49,Oxycoccus palustris β citriformis,,,,,,,,,Oxycoccus palustris var. citriformis Wittr.,1,no,yes,yes,
DUMMY-50,Hieracium silvaticum *sinuosifrons Almqu.,,,,,,,,,Hieracium sinuosifrons (Almq. ex Dahlst.) Almq.,1,no,yes,yes,
DUMMY-51,Baccharis subdentata DC.,,,G. Heiden,2013,,,,,Baccharis subdentata DC.,1,no,yes,no,
DUMMY-54,Quercus Gambelii,,,,,,,,,Quercus gambelii Nutt.,1,no,yes,yes,
DUMMY-55,Agrostis exarata Trin.,,,,,,,,,Agrostis exarata Trin.,1,no,yes,yes,
DUMMY-56,Helichrysum gariepinum DC.,,,,,,,,,Helichrysum gariepinum DC.,1,no,yes,yes,
DUMMY-57,Callitriche vernalis Koch.,,,,,,,,,Callitriche vernalis Koch.,1,no,yes,yes,
DUMMY-58,Sparganium simplex,,,,,,,,,Sparganium simplex Huds.,1,no,yes,yes,
